index	variable	center	radius
0	c1	0.227533338966018337888847755824081368557558628197885480385083388169345076307324665295471141212259025640772697824086698447	1e-100
1	c2	-0.019079301528073732718368190822901200729351378776277418064771319421802943484646424884217476443208503327716833312170910033	1e-100
2	c3	-0.373639038703067559864387433750571907465868498572845335164309752540893531326626562527591209503134556186084316120875543426	1e-100
3	c4	0.116305780468658569317658460565566607088214396171037349932731882335589820304670828506590762806231051124562513321090050378	1e-100
4	c5	0.007255491697890803218255043555730240624151687082916757403715758283790227960487163600668302002122362129035727386424122765	1e-100
5	p0_0	0.454175964208068646300504181035164984829620683681165075918458191123935781450814524762740361576224933843715186955827961217	1e-100
6	p0_1	0.193260810665982835312539441346972535771103565154450424150221350788240513228621655270368160855101585420718453143281933089	1e-100
7	p0_2	0.140401584198278770508365809172678179500105659477389583617824656600487505578474978136990485049356740681237541709253302833	1e-100
8	p0_3	0.072710321529213781200545855260176066491253877656230499012965401873965921366567437394373229669514235684018332545431372797	1e-100
9	p0_4	0.047292521166113698363481489161182913893967650851384290111008254166151000451812214560802081225289848787992140085046053011	1e-100
10	p0_5	0.031572459870418614307874060361100279387332698336116799033720030844097270346984094152498540123519148687157495412209828097	1e-100
11	p0_6	0.023262124083616123965680182879208390596845601260076109863056652307621563986778727445762438705220344979830401510811535506	1e-100
12	p0_7	0.017361734313752792644982349187133956157364746656885514260480562493457582089341594979817145290398634594707831632053416598	1e-100
13	p0_8	0.011366608521340673978702273018373263547342499130472261334761053649036139133855936253115153285466258010966486679322565828	1e-100
14	p0_9	0.002743764179184907784165153458896554285093392164426503430114327050164707428070275433524769937621870322625532024590353618	1e-100
15	p0_10	-0.013557310919664801173692044955298412333000335494514090756038335276295713187871090719608475096635796876963813063553490004	1e-100
16	p0_11	-0.040083871518972978512730470383724475907145503283549839504535438872172068124714308682618128741884948720549022876057855554	1e-100
17	p0_12	-0.109320228712787648313695960317356813679907380017972701763054458247935701039147802834106327263205275411328337501599404886	1e-100
18	p0_13	-0.166532578456126018053617539891418924500234341656887020941011503743261614480953988838479239782679344430220806759869636870	1e-100
19	p0_14	-0.430915119621972087856313543477998527284859755961719060546786499860832789846533783866756166482042529649946087322976971091	1e-100
20	p1_0	0.098465029589214484667810186550783906143252107691084875416843036716589420352075544172293712536533788494650875027726112377	1e-100
21	p1_1	0.140061644425059035382297524131362946768407616578633701142799263535993838675483233879135595457564697876521307128138800364	1e-100
22	p1_2	0.169781285497134458314098846505544783681012551492177851302115769216356402043209785448658361900560520825260810143890568112	1e-100
23	p1_3	0.184338041649817197030959113886329057717431292566860035706920078001489201076261280685647354035436996620575435329989529662	1e-100
24	p1_4	0.192887014579687744206334639504510967933028228315418625043230172234672517597333697782066080100648082000870122063469721953	1e-100
25	p1_5	0.197563503560594469807828589753355961246621446707775821897962731302745893223854108662764088925094155872277668176209443036	1e-100
26	p1_6	0.200066959996822762162627552498429351715959237896171366640603180800411792315110596045691054492171616321793886762376551823	1e-100
27	p1_7	0.201102843257061465971350612532234836295652863119939145064560477283687160709314443902064421792737526834253981418582577384	1e-100
28	p1_8	0.201041388938626663294338839325082895480298550324666079846891647424348322388086611035779524525721813298493494379139793797	1e-100
29	p1_9	0.199925025033869901403979845693085544008455483843280050043175291014412141701355901588969892154684888173354689052680702282	1e-100
30	p1_10	0.197871568395608952620713570479605846113981094506075210474838498045607854327174973009229601261760047729638065968564851488	1e-100
31	p1_11	0.193577651786777523525097268924111160657137694439587555720248403293239473583791099643622023627178359339204189185893968452	1e-100
32	p1_12	0.190237411221687361565657643106293060064556224724840687714525287529787609825272142233008849191323396735937749489549147595	1e-100
33	p1_13	0.169534355346655449374719814136013917101928320553321479674333919979209111698773854281480696880820775007779842435444157015	1e-100
34	p1_14	0.170967844931805487953645837024821397170451015662728205406690478767711470060535386948994022837435907698428972109308584655	1e-100
35	tau	0.084095140423454345944163566075479412274551224834776834689370232451011921378409901318318522464765236330354024489035605488	1e-100
36	lambda	0.974083092025095104974171867633434340468912704643483802814675136245518222773707376397429320925098032066461400169544196420	1e-100
